Punkt	Code	Jahr	Stratum	design_od_modell_basiert	x_rel_obs	y_rel_obs	x_UTM	y_UTM	Tiefe_zum_Oxidationshorizont_cm	Maechtigkeit_Oxidationshorizont_cm	Maechtigkeit_A_Horizont_cm	Maechtigkeit_AL_Schicht_cm	Gelaendehoehe_m	Bodenfeuchte_Prozent
113	s3.6_d.1	2012	3	d	860.008	963.998	311824	5846479	18	82	15	NA	97.913	NA
114	s3.6_d.2	2012	3	d	858.016	982.006	311822	5846497	100	0	32	NA	97.863	NA
115	s3.6_m.1	2012	3	m	860.508	964.003	311824.5	5846479	10	22	8	NA	97.935	NA
116	s3.6_m.2	2012	3	m	867.516	964.007	311831.5	5846479	NA	NA	NA	NA	97.901	NA
117	s3.7_d.1	2012	3	d	973.011	1082.994	311937	5846598	100	0	23	NA	97.775	NA
118	s3.7_d.2	2012	3	d	1007.991	1080.994	311972	5846596	32	47	20	NA	97.877	NA
119	s3.7_m.1	2012	3	m	973.508	1082.999	311937.5	5846598	15	30	20	NA	97.773	NA
120	s3.7_m.2	2012	3	m	980.519	1083.004	311944.5	5846598	16	18	15	NA	97.783	NA
121	s3.8_d.1	2012	3	d	948.002	1062.982	311912	5846578	100	0	20	NA	97.727	NA
122	s3.8_d.2	2012	3	d	955.014	1053.992	311919	5846569	100	0	15	NA	97.751	NA
123	s3.8_m.1	2012	3	m	948.521	1063.006	311912.5	5846578	100	0	26	NA	97.727	NA
124	s3.8_m.2	2012	3	m	955.492	1063.011	311919.5	5846578	100	0	26	NA	97.699	NA
125	s3.9_d.1	2012	3	d	967.984	871.001	311932	5846386	12	1	20	100	97.726	NA
126	s3.9_d.2	2012	3	d	991.004	877.987	311955	5846393	75	5	45	90	97.756	NA
127	s3.9_m.1	2012	3	m	968.503	870.998	311932.5	5846386	20	70	15	100	97.793	NA
128	s3.9_m.2	2012	3	m	975.478	870.996	311939.5	5846386	22	73	20	100	97.704	NA
129	s3.10_d.1	2012	3	d	926.016	1036.008	311890	5846551	100	0	20	NA	97.702	NA
130	s3.10_d.2	2012	3	d	927.008	1029.999	311891	5846545	100	0	NA	NA	97.708	NA
131	s3.10_m.1	2012	3	m	926.49	1035.995	311890.5	5846551	100	0	20	NA	97.701	NA
132	s3.10_m.2	2012	3	m	933.522	1036.006	311897.5	5846551	100	0	23	NA	97.715	NA
133	s3.11_d.1	2012	3	d	879.987	989.006	311844	5846504	48	12	20	100	97.783	NA
134	s3.11_d.2	2012	3	d	884.999	1014.004	311849	5846529	5	1	11	50	97.909	NA
135	s3.11_m.1	2012	3	m	880.503	997.988	311844.5	5846513	10	10	9	60	97.779	NA
136	s3.11_m.2	2012	3	m	887.494	998.016	311851.5	5846513	100	0	14	40	97.874	NA
137	s3.12_d.1	2012	3	d	1053.98	860.999	312018	5846376	52	48	10	NA	97.667	NA
138	s3.12_d.2	2012	3	d	1039.997	877.987	312004	5846393	30	60	30	100	97.989	NA
139	s3.12_m.1	2012	3	m	1054.485	860.999	312018.5	5846376	100	0	20	80	97.693	NA
140	s3.12_m.2	2012	3	m	1061.482	860.997	312025.5	5846376	35	25	NA	NA	97.91	NA
241	NA	2013	1	d	979.5347	988.724	311943.5347	5846503.724	100	0	42	36	99.371	20.7
242	NA	2013	1	d	972.3199	1009.326	311936.3199	5846524.326	100	0	32	0	99.21	19.3
245	NA	2013	1	d	1009.6638	982.003	311973.6638	5846497.003	54	46	55	45	99.298	19.6
246	NA	2013	1	d	1013.5328	994.548	311977.5328	5846509.548	100	0	20	0	99.778	18.5
249	NA	2013	1	d	992.7633	1013.22	311956.7633	5846528.22	100	0	20	0	99.691	9.4
250	NA	2013	1	d	976.535	1024.137	311940.535	5846539.137	100	0	28	0	99.154	18.2
253	NA	2013	1	d	1038.9137	1010.528	312002.9137	5846525.528	73	27	30	20	99.155	22.8
254	NA	2013	1	d	1034.6785	1002.16	311998.6785	5846517.16	74	19	35	15	99.521	20.1
255	NA	2013	1	d	1018.8543	1036.787	311982.8543	5846551.787	100	0	46	NA	98.923	25.8
256	NA	2013	1	d	1023.1753	1023.081	311987.1753	5846538.081	35	4	45	0	99.24	13.4
257	NA	2013	2	d	1032.3761	898.744	311996.3761	5846413.744	20	68	17	12	98.438	35.7
258	NA	2013	2	d	1017.8328	898.962	311981.8328	5846413.962	55	39	22	100	98.411	40.2
259	NA	2013	2	d	1038.0028	1058.923	312002.0028	5846573.923	36	6	12	43	97.941	60.5
260	NA	2013	2	d	1044.7846	1036.72	312008.7846	5846551.72	0	60	40	70	97.859	82.4
261	NA	2013	2	d	1034.8562	923.381	311998.8562	5846438.381	34	58	22	100	98.751	28.9
262	NA	2013	2	d	1039.718	928.392	312003.718	5846443.392	47	40	33	100	98.831	33.6
263	NA	2013	2	d	999.7991	967.74	311963.7991	5846482.74	45	55	60	95	99.054	19.1
264	NA	2013	2	d	999.6728	960.06	311963.6728	5846475.06	60	40	45	100	98.987	31.2
265	NA	2013	2	d	948.6548	970.542	311912.6548	5846485.542	33	57	26	100	99.003	26.4
266	NA	2013	2	d	935.3552	972.131	311899.3552	5846487.131	NA	NA	NA	NA	99.081	NA
267	NA	2013	2	d	916.456	942.314	311880.456	5846457.314	42	58	35	100	98.392	41.2
268	NA	2013	2	d	918.3927	945.977	311882.3927	5846460.977	71	29	26	NA	98.628	38.6
269	NA	2013	2	d	1010.7047	1066.979	311974.7047	5846581.979	19	9	37	100	98.128	58.3
270	NA	2013	2	d	1019.3265	1071.544	311983.3265	5846586.544	15	30	30	62	98.075	50.5
271	NA	2013	2	d	973.7304	937.376	311937.7304	5846452.376	51	49	29	100	98.863	44.6
272	NA	2013	2	d	984.9911	959.249	311948.9911	5846474.249	57	43	35	100	99.077	34.8
273	NA	2013	2	d	945.5927	907.342	311909.5927	5846422.342	25	75	25	100	98.199	52.7
274	NA	2013	2	d	930.3238	940.436	311894.3238	5846455.436	67	33	33	100	98.609	36.7
275	NA	2013	2	d	1040.14	958.347	312004.14	5846473.347	18	72	15	90	98.898	31.2
276	NA	2013	2	d	1033.1045	966.055	311997.1045	5846481.055	100	0	55	0	99.014	27.7
277	NA	2013	2	d	938.6854	994.233	311902.6854	5846509.233	29	66	18	100	98.777	30.1
278	NA	2013	2	d	922.7981	988.7	311886.7981	5846503.7	40	60	26	100	98.74	40
279	NA	2013	2	d	905.102	965.964	311869.102	5846480.964	20	80	25	100	98.786	40.1
280	NA	2013	2	d	911.4509	999.816	311875.4509	5846514.816	30	63	30	100	98.219	44.8
281	NA	2013	2	d	1049.201	919.747	312013.201	5846434.747	24	66	12	90	98.738	29.7
282	NA	2013	2	d	1053.4102	899.622	312017.4102	5846414.622	23	77	23	100	98.481	29.4
283	NA	2013	2	d	897.4483	927.92	311861.4483	5846442.92	11	67	9	100	98.097	50.5
284	NA	2013	2	d	870.5771	950.706	311834.5771	5846465.706	34	47	15	100	97.878	66.9
285	NA	2013	2	d	993.773	922.426	311957.773	5846437.426	32	56	24	39	98.61	35.4
286	NA	2013	2	d	990.652	886.464	311954.652	5846401.464	7	58	7	65	98.153	45.1
287	NA	2013	2	d	965.6855	926.278	311929.6855	5846441.278	30	70	30	70	NA	41.8
288	NA	2013	2	d	977.5354	893.848	311941.5354	5846408.848	47	50	50	80	98.291	39.4
289	NA	2013	2	d	968.9949	955.93	311932.9949	5846470.93	61	39	33	100	99.052	28.7
290	NA	2013	2	d	961.3222	948.561	311925.3222	5846463.561	50	50	28	43	99.007	36.6
291	NA	2013	2	d	975.2547	1047.983	311939.2547	5846562.983	100	0	32	40	98.371	41.2
292	NA	2013	2	d	988.8921	1062.266	311952.8921	5846577.266	12	13	12	25	98.196	52.2
293	NA	2013	3	d	844.4978	960.97	311808.4978	5846475.97	100	0	11	25	98	53.1
294	NA	2013	3	d	847.9258	964.004	311811.9258	5846479.004	5	13	4	52	97.922	57.9
295	NA	2013	3	d	931.3896	1047.663	311895.3896	5846562.663	NA	NA	NA	NA	97.733	NA
296	NA	2013	3	d	928.1	1046.906	311892.1	5846561.906	100	0	18	34	97.749	82.7
297	NA	2013	3	d	1037.7562	862.536	312001.7562	5846377.536	100	0	NA	100	97.659	73.8
298	NA	2013	3	d	1015.6181	872.592	311979.6181	5846387.592	100	0	11	90	97.662	75.2
299	NA	2013	3	d	837.5958	944.012	311801.5958	5846459.012	21	1	15	100	97.883	57.6
300	NA	2013	3	d	842.7522	948.09	311806.7522	5846463.09	22	27	10	50	97.875	67.4
301	NA	2013	3	d	908.666	917.607	311872.666	5846432.607	26	54	22	70	98.097	58.7
302	NA	2013	3	d	892.9502	909.581	311856.9502	5846424.581	100	0	12	100	97.807	72
303	NA	2013	3	d	863.0347	990.079	311827.0347	5846505.079	100	0	24	76	97.852	82.7
304	NA	2013	3	d	878.9791	1004.221	311842.9791	5846519.221	100	0	15	30	97.821	85.9
305	NA	2013	3	d	880.9382	932.28	311844.9382	5846447.28	23	26	15	90	97.866	66.2
306	NA	2013	3	d	873.8923	924.431	311837.8923	5846439.431	100	0	16	100	97.768	65.7
307	NA	2013	3	d	985.1623	866.651	311949.1623	5846381.651	100	0	NA	100	97.649	70.8
308	NA	2013	3	d	973.8213	874.431	311937.8213	5846389.431	100	0	NA	100	97.75	63.2
309	NA	2013	3	d	943.5439	875.474	311907.5439	5846390.474	50	43	NA	100	97.745	75.7
310	NA	2013	3	d	926.1709	899.189	311890.1709	5846414.189	30	51	NA	100	97.786	63.3
311	NA	2013	3	d	964.8423	1056.935	311928.8423	5846571.935	10	57	10	33	97.866	77.2
312	NA	2013	3	d	951.9278	1079.542	311915.9278	5846594.542	100	0	3	10	97.896	80.3
313	NA	2013	3	d	983.6896	1097.875	311947.6896	5846612.875	100	0	10	38	97.885	77
314	NA	2013	3	d	966.8889	1092.607	311930.8889	5846607.607	NA	NA	NA	NA	97.845	NA
315	NA	2013	3	d	898.7513	1022.335	311862.7513	5846537.335	100	0	NA	38	97.846	82.1
